Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Sunflower,2001,Kharif,460,200,1672.5,46979.8,119.6,0.568,2,24.93
Sunflower,2001,Rabi,8940,6850,1672.5,913042.2,2324.4,0.664814815,2,24.93
Sweet potato,2001,Whole Year,38480,312850,1672.5,3929962.4,10004.8,8.193666667,2,24.93
Tobacco,2001,Whole Year,5680,3580,1672.5,580098.4,1476.8,0.524,2,24.93
Turmeric,2001,Whole Year,26420,59240,1672.5,2698274.6,6869.2,2.108,2,24.93
Urad,2001,Kharif,148934,44552,1672.5,15210629.42,38722.84,0.255333333,2,24.93
Wheat,2001,Rabi,6976,10565,1672.5,712458.88,1813.76,1.1288,2,24.93
Arhar/Tur,2002,Kharif,114190,73450,1102.8,10810367.3,28547.5,0.665862069,3,25.2
Arhar/Tur,2002,Rabi,70,50,1102.8,6626.9,17.5,0.65,3,25.2
Bajra,2002,Kharif,3760,1820,1102.8,355959.2,940,0.528333333,3,25.2
Castor seed,2002,Kharif,7830,3610,1102.8,741266.1,1957.5,0.463913043,3,25.2
Castor seed,2002,Rabi,6400,2750,1102.8,605888,1600,0.489166667,3,25.2
Coriander,2002,Whole Year,18880,8950,1102.8,1787369.6,4720,0.472333333,3,25.2
Dry chillies,2002,Whole Year,74970,62910,1102.8,7097409.9,18742.5,0.834333333,3,25.2
Garlic,2002,Whole Year,10700,33830,1102.8,1012969,2675,3.16,3,25.2
Ginger,2002,Kharif,15340,29490,1102.8,1452237.8,3835,1.828,3,25.2
Gram,2002,Rabi,21040,13020,1102.8,1991856.8,5260,0.489310345,3,25.2
Groundnut,2002,Kharif,56137,48835,1102.8,5314489.79,14034.25,0.863,3,25.2
Horse-gram,2002,Kharif,75952,14322,1102.8,7190375.84,18988,0.222666667,3,25.2
Jowar,2002,Kharif,11000,5720,1102.8,1041370,2750,0.5605,3,25.2
Jute,2002,Kharif,5610,51209,1102.8,531098.7,1402.5,8.91875,3,25.2
Linseed,2002,Rabi,16530,5410,1102.8,1564895.1,4132.5,0.329285714,3,25.2
Maize,2002,Kharif,43100,42400,1102.8,4080277,10775,0.9248,3,25.2
Masoor,2002,Rabi,3810,1400,1102.8,360692.7,952.5,0.36,3,25.2
Moong(Green Gram),2002,Kharif,168305,38348,1102.8,15933434.35,42076.25,0.205666667,3,25.2
Niger seed,2002,Kharif,98060,15560,1102.8,9283340.2,24515,0.247272727,3,25.2
Niger seed,2002,Rabi,19930,5810,1102.8,1886773.1,4982.5,0.330909091,3,25.2
Onion,2002,Whole Year,26410,238790,1102.8,2500234.7,6602.5,8.852666667,3,25.2
Other  Rabi pulses,2002,Rabi,26900,15730,1102.8,2546623,6725,0.592962963,3,25.2
Other Kharif pulses,2002,Kharif,20790,10461,1102.8,1968189.3,5197.5,0.455555556,3,25.2
Potato,2002,Whole Year,7076,70320,1102.8,669884.92,1769,8.908214286,3,25.2
Ragi,2002,Kharif,77095,35504,1102.8,7298583.65,19273.75,0.387692308,3,25.2
Rapeseed &Mustard,2002,Rabi,12193,1604,1102.8,1154311.31,3048.25,0.118333333,3,25.2
Rice,2002,Kharif,4273000,3278000,1102.8,404524910,1068250,0.753333333,3,25.2
Safflower,2002,Rabi,1250,500,1102.8,118337.5,312.5,0.51,3,25.2
Sesamum,2002,Kharif,43471,7022,1102.8,4115399.57,10867.75,0.203448276,3,25.2
Small millets,2002,Kharif,30440,11440,1102.8,2881754.8,7610,0.394705882,3,25.2
Sugarcane,2002,Whole Year,14177,753194,1102.8,1342136.59,3544.25,52.07642857,3,25.2
Sunflower,2002,Kharif,50,30,1102.8,4733.5,12.5,0.666666667,3,25.2
Sunflower,2002,Rabi,3860,2610,1102.8,365426.2,965,0.599655172,3,25.2
Sweet potato,2002,Whole Year,46890,384260,1102.8,4439076.3,11722.5,8.228666667,3,25.2
Tobacco,2002,Whole Year,4090,2600,1102.8,387200.3,1022.5,0.522222222,3,25.2
Turmeric,2002,Whole Year,23640,33700,1102.8,2237998.8,5910,2.164827586,3,25.2
Urad,2002,Kharif,117293,27067,1102.8,11104128.31,29323.25,0.202333333,3,25.2
Wheat,2002,Rabi,4627,5767,1102.8,438038.09,1156.75,1.133636364,3,25.2
Arhar/Tur,2003,Kharif,136540,95590,1648.2,13514729.2,32769.6,0.682068966,2,24.93
Bajra,2003,Kharif,3270,1720,1648.2,323664.6,784.8,0.538333333,2,24.93
Castor seed,2003,Kharif,10900,5590,1648.2,1078882,2616,0.480769231,2,24.93
Castor seed,2003,Rabi,6830,3050,1648.2,676033.4,1639.2,0.486,2,24.93
Coriander,2003,Whole Year,19010,9000,1648.2,1881609.8,4562.4,0.480666667,2,24.93
Dry chillies,2003,Whole Year,75040,63180,1648.2,7427459.2,18009.6,0.838666667,2,24.93
Garlic,2003,Whole Year,10850,34320,1648.2,1073933,2604,3.144666667,2,24.93
Ginger,2003,Kharif,15480,30020,1648.2,1532210.4,3715.2,1.810333333,2,24.93
Gram,2003,Rabi,28570,17670,1648.2,2827858.6,6856.8,0.505172414,2,24.93
Groundnut,2003,Kharif,77176,93133,1648.2,7638880.48,18522.24,1.084,2,24.93
Horse-gram,2003,Kharif,87826,24752,1648.2,8693017.48,21078.24,0.293103448,2,24.93
Jowar,2003,Kharif,11090,6380,1648.2,1097688.2,2661.6,0.604,2,24.93
Jute,2003,Kharif,2590,18148,1648.2,256358.2,621.6,7.076666667,2,24.93
Linseed,2003,Rabi,18240,7180,1648.2,1805395.2,4377.6,0.33,2,24.93
Maize,2003,Kharif,55549,78744,1648.2,5498240.02,13331.76,0.887307692,2,24.93
Maize,2003,Rabi,13760,18180,1648.2,1361964.8,3302.4,1.32,2,24.93
Masoor,2003,Rabi,5860,2430,1648.2,580022.8,1406.4,0.4025,2,24.93
Moong(Green Gram),2003,Kharif,257261,60081,1648.2,25463693.78,61742.64,0.229333333,2,24.93
Niger seed,2003,Kharif,110640,25660,1648.2,10951147.2,26553.6,0.277,2,24.93
Niger seed,2003,Rabi,19610,6170,1648.2,1940997.8,4706.4,0.38,2,24.93
Onion,2003,Whole Year,26550,240340,1648.2,2627919,6372,8.845666667,2,24.93
Other  Rabi pulses,2003,Rabi,35250,20190,1648.2,3489045,8460,0.582592593,2,24.93
Other Kharif pulses,2003,Kharif,27280,15020,1648.2,2700174.4,6547.2,0.506428571,2,24.93
Potato,2003,Whole Year,7303,75823,1648.2,722850.94,1752.72,9.688965517,2,24.93
Ragi,2003,Kharif,70490,44575,1648.2,6977100.2,16917.6,0.4768,2,24.93
